Database,ID,Source,Collection Terms,Description,Tags,Category_1,Category_2,Category_3,Event Name,Create Time,Count
Collect_yTK,15,yTK,foursquare,,social media,"geolocation, social media",,,Foursquare,2012-10-07,"44,744,177"
Collect_yTK,16,yTK,#Isaac,hurricane Isaac in Aug. 2012,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,,Isaac Isaacs,2012-10-07,"1,043,155"
Collect_yTK,17,yTK,turkey syria,violence between Turkey and Syria in Oct. 2012,,,,,Syria–Turkey relations,2012-10-07,"3,371,518"
Collect_yTK,18,yTK,emergency preparedness,,,,,,,2012-10-07,"1,560,201"
Collect_yTK,19,yTK,emergency response,"""The Emergency Response Guidebook: A Guidebook for First Responders During the Initial Phase of a Dangerous Goods/Hazardous Materials Transportation Incident (ERG) is used by emergency response personnel (such as firefighters,Paramedics and police officers) in Canada, Mexico, and the United States when responding to a transportation emergency involving hazardous materials""",Response,Response,,,Emergency Response Guidebook,2012-10-07,"2,442,092"
Collect_yTK,20,yTK,emergency recovery,,Response,Response,,,Emergency! Emergency!,2012-10-07,"723,148"
Collect_yTK,21,yTK,emergency mitigation,,Response,Response,,,Mitigation,2012-10-07,"44,172"
Collect_yTK,22,yTK,emergency management,"""Emergency management is the organization and management of the resources and responsibilities for dealing with all humanitarian aspects of emergencies (preparedness, response, mitigation, and recovery)""",Response,Response,,,Emergency management,2012-10-07,"1,640,101"
Collect_yTK,23,yTK,hurricane sandy,"""Hurricane Sandy (unofficially referred to as Superstorm Sandy) was the deadliest and most destructive hurricane of the 2012 Atlantic hurricane season""",/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,,Hurricane Sandy,2012-10-26,"4,444,834"
Collect_yTK,24,yTK,earthquake,"""35|Earthquake epicenters occur mostly along tectonic plate boundaries, and especially on the Pacific Ring of Fire""",Response,Response,,,Earthquakes,2012-10-26,"11,820,298"
Collect_yTK,25,yTK,flood,,Earthquake,Earthquake,,,,2012-10-26,"13,184,341"
Collect_yTK,26,yTK,terrorism,"""  The group was founded by Rabbi Meir Kahane's Kach organization, and took its name from Kahane's theory that Arab terrorism should be met with Jewish terrorism""",Flood,Flood,,,Terror Neged Terror,2012-10-26,"9,376,244"
Collect_yTK,27,yTK,hurricane,"""A tropical cyclone is a rapidly rotating storm system characterized by a low-pressure center, a closed low-level atmospheric circulation, strong winds, and a spiral arrangement of thunderstorms that produce heavy rain""",/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,,Hurricane,2012-10-26,"16,172,561"
Collect_yTK,28,yTK,hurricane isaac,""" The depression was upgraded to a tropical storm just 12 hours later, though unfavorable atmospheric conditions, including high wind shear and cool water temperatures, initially inhibited further intensification""",/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,,Hurricane Isaac (2006),2012-11-01,"121,464"
Collect_yTK,29,yTK,@NOAA,for Hurricane Sandy,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,,NOAA,2012-11-03,"1,916,177"
Collect_yTK,30,yTK,@FEMA,for Hurricane Sandy,/Organization/Federal/FEMA,/Organization/Federal/FEMA,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,Fema,2012-11-03,"1,749,464"
Collect_yTK,31,yTK,@RedCross,"""9|alt=Two flags waving|The Red Cross and Red Crescent emblems, the symbols from which the movement derives its name, Genève 2005 The International Red Cross and Red Crescent Movement is an international humanitarian movement with approximately 17 million volunteers, members and staff worldwide which was founded to protect human life and health, to ensure respect for all human beings, and to prevent and alleviate human suffering""",Terrorism,Terrorism,,,Red Cross and Red Crescent,2012-11-05,"2,182,685"
Collect_yTK,32,yTK,@SalvationArmy,"""</noinclude>  The Salvation Army (TSA) is a Protestant Christian church and an international charitable organisation""",International,International,,,The Salvation Army,2012-11-05,"991,428"
Collect_yTK,33,yTK,@SalvationArmyUS,"""</noinclude>  The Salvation Army (TSA) is a Protestant Christian church and an international charitable organisation""",International,International,,,The Salvation Army,2012-11-05,"1,001,706"
Collect_yTK,34,yTK,@ReadydotGov,"Be informed, make a plan, build a kit.",,,,,Dot gov,2012-11-05,"5,971"
Collect_yTK,35,yTK,@craigatFEMA,FEMA administrator,,,,,Fema,2012-11-05,"235,427"
Collect_yTK,36,yTK,guatemala earthquake,"""The 1942 Guatemala earthquake occurred at  on August 6 and had ratings of 7""",International,International,,,1942 Guatemala earthquake,2012-11-07,"281,514"
Collect_yTK,37,yTK,Israel,Israel and Hamas conflict over Gaza in Nov. 2012,Earthquake,Earthquake,,,Israel vs Israel,2012-11-15,"21,948,031"
Collect_yTK,38,yTK,obesity,"""      Medical field  Condition  Medical field  Condition    Cardiology   coronary heart disease: angina and myocardial infarction  congestive heart failure  high blood pressure    Dermatology   stretch marks  lymphedema      Endocrinology and Reproductive medicine   diabetes mellitus  complications during pregnancy  migraines  carpal tunnel syndrome  dementia  idiopathic intracranial hypertension  multiple sclerosis    Oncology   esophageal  colorectal  pancreatic  gallbladder  endometrial  kidney  Leukemia  Hepatocellular carcinoma  obesity hypoventilation syndrome  poor mobility  osteoarthritis    Urology and Nephrology   erectile dysfunction  urinary incontinence  chronic renal failure  hypogonadism  buried penis     Survival paradox Although the negative health consequences of obesity in the general population are well supported by the available evidence, health outcomes in certain subgroups seem to be improved at an increased BMI, a phenomenon known as the obesity survival paradox""",Earthquake,Earthquake,,,Obesity,2012-11-16,"7,830,000"
Collect_yTK,39,yTK,typhoon,""" Like any tropical cyclone, there are a few main requirements for typhoon formation and development: (1) sufficiently warm sea surface temperatures, (2) atmospheric instability, (3) high humidity in the lower to middle levels of the troposphere, (4) enough Coriolis effect to develop a low pressure center, (5) a pre-existing low level focus or disturbance, and (6) a low vertical wind shear""",/Disaster_Types/Natural/Geophysical/Storm/Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,,,Typhoon,2012-12-05,"6,862,146"
Collect_yTK,40,yTK,oregon shooting,"A shooting spree in a mall at Oregon in Dec. 12, 2012",/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,,Oregon shooting,2012-12-12,"645,302"
Collect_yTK,41,yTK,Connecticut shooting,"Shooting at an elementary school in Newtown, CT",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Connecticut shooting,2012-12-14,"517,736"
Collect_yTK,42,yTK,connecticut school shooting,"""The Sandy Hook Elementary School shooting occurred on December 14, 2012, in Newtown, Connecticut, United States, when 20-year-old Adam Lanza fatally shot 20 children between six and seven years old, and six adult staff members""",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,"Newtown, Connecticut school shooting",2012-12-14,"178,521"
Collect_yTK,43,yTK,firefighter shooting,"four firefighters were sniped in Dec. 25, 2012",/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,,,2012-12-25,"158,574"
Collect_yTK,44,yTK,tucson shooting,Archiving tweets for the 2nd anniversary of this shooting event,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,,Tucson shootings,2013-01-08,"273,890"
Collect_yTK,45,yTK,kentucky shooting,"2 dead, 1 injured in Kentucky shooting, 1/15/2013 ",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Category:Mass shootings in Kentucky,2013-01-16,"612,641"
Collect_yTK,46,yTK,gun control,""" A 2011 survey of 28 countries over five continents found that a major distinction between different national regimes of firearm regulation is whether civilian gun ownership is seen as a right or a privilege""",Wind,Wind,,,Gun Control,2013-01-19,"7,607,236"
Collect_yTK,47,yTK,brazil nightclub fire,"Jan 27, 2013",International,International,,,Kiss nightclub fire in Brazil,2013-01-27,"95,073"
Collect_yTK,48,yTK,tsunami,"""4|The 2004 Indian Ocean tsunami at Ao Nang, Krabi Province, Thailandthumb|upright=1""",International,International,,,Tsunamis,2013-02-05,"11,984,899"
Collect_yTK,49,yTK,solomon islands earthquake,"magnitude 8 earthquake, small tsunami in Feb. 2013",Tsunami,Tsunami,,,2013 Solomon Islands earthquake,2013-02-06,"385,620"
Collect_yTK,50,yTK,tunisia,""" Tunisian international debt grew unmanageable""",/location/country/tunisia,/location/country/tunisia,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Assassination,,Tunisia,2013-02-06,"5,213,625"
Collect_yTK,51,yTK,santa cruz earthquake,"magnitude 8, Feb. 7, 2013",Tsunami,Tsunami,,,"Santa Cruz District, Santa Cruz",2013-02-07,"112,334"
Collect_yTK,52,yTK,northeast storm,"heaviest snowfall for cities in a century in US, Feb. 2013",Tsunami,Tsunami,,,December 2008 Northeast ice storm,2013-02-08,"984,433"
Collect_yTK,53,yTK,#iran,,Tsunami,Tsunami,,,,2013-02-11,"10,510,408"
Collect_yTK,54,yTK,gun violence,""" The committee wrote: ""[Existing] research studies and data include a wealth of descriptive information on homicide, suicide, and firearms, but, because of the limitations of existing data and methods, do not credibly demonstrate a causal relationship between the ownership of firearms and the causes or prevention of criminal violence or suicide""",National,National,,,Gun violence,2013-02-18,"5,665,073"
Collect_yTK,55,yTK,Quantico shooting,,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,,Quantico,2013-03-22,"89,988"
Collect_yTK,64,yTK,#ETD,,,,,,ETD,2013-04-05,"62,119"
Collect_yTK,65,yTK,#ETDs,,,,,,TD plays TD,2013-04-05,"4,116"
Collect_yTK,66,yTK,#NDLTD,,Prevention,Prevention,,,ND,2013-04-05,278
Collect_yTK,68,yTK,#ETD2013,,General,General,,,TD plays TD,2013-04-05,624
Collect_yTK,69,yTK,#digitallibrary,""" Many of these repositories are made available to the general public with few restrictions, in accordance with the goals of open access, in contrast to the publication of research in commercial journals, where the publishers often limit access rights""",Chemical,Chemical,,,Digital libraries,2013-04-05,"26,191"
Collect_yTK,70,yTK,#digitallibraries,""" Many of these repositories are made available to the general public with few restrictions, in accordance with the goals of open access, in contrast to the publication of research in commercial journals, where the publishers often limit access rights""",,,,,Digital libraries,2013-04-05,"16,225"
Collect_yTK,71,yTK,#jcdl,,,,,,DL,2013-04-05,376
Collect_yTK,72,yTK,christiansburg mall shooting,,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,Christiansburg,2013-04-15,487
Collect_yTK,73,yTK,virginia tech remembrance,""" undergraduate programs accredited by the Association to Advance Collegiate Schools of Business International""",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Virginia Tech,2013-04-15,"22,869"
Collect_yTK,74,yTK,boston blast,"""  Bombing  thumb|left|The blasts (red) occurred along the marathon course (dark blue), the first nearer the finish line than the second""",,,,,Boston bomb blasts,2013-04-15,"352,548"
Collect_yTK,75,yTK,boston explosion,,Bombing,Bombing,,,Boston explosions,2013-04-15,"305,455"
Collect_yTK,76,yTK,pakistan earthquake,The earthquake in IRAN which had impact in pakistan,Bombing,Bombing,,,,2013-04-18,"580,960"
Collect_yTK,77,yTK,texas fertilizer explosion,The explosion in texas ,Bombing,Bombing,,,West Fertilizer Company explosion,2013-04-18,"94,920"
Collect_yTK,78,yTK,boston shooters,The shooters at boston,Bombing,Bombing,,,The Shooters,2013-04-19,"105,886"
Collect_yTK,79,yTK,china earthquake,"magnitude 6.8 in Sichuan province, China killing > 100 in Apri 2013",Bombing,Bombing,,,Earthquakes in China,2013-04-19,"858,377"
Collect_yTK,80,yTK,bangladesh building collapse,"""thumb|Gangaram Building Collapse, Bengaluru (1983)A seven-storey building under construction in Bengaluru, India, belonging to N""",Bombing,Bombing,,,Gangaram building collapse,2013-04-24,"128,679"
Collect_yTK,81,yTK,747 crash,"in Bagram, Afganistan, 4/29/2013",Building,Building,,,747,2013-05-01,"91,249"
Collect_yTK,82,yTK,turkish car bombing,car bomb killed 46 people in a Turkish town near Syrian border,Building,Building,,,Car bomb,2013-05-13,"59,856"
Collect_yTK,83,yTK,ontario earthquake,"4.8 magnitude earthquake in Ontario, Canada in 5/17/2013",Building,Building,,,Earthquakes,2013-05-20,"35,649"
Collect_yTK,84,yTK,oklahoma tornado,"""Numerous tornado outbreaks have occurred in Oklahoma since modern records have been kept""",Building,Building,,,Oklahoma tornado outbreak,2013-05-20,"1,106,735"
Collect_yTK,85,yTK,#Iranelections,,Tornado,Tornado,,,Elections in Iran,2013-05-27,"48,502"
Collect_yTK,86,yTK,philadelphia building collapse,Demolished building hit a Salvation Army building,International,International,,,2013 Philadelphia building collapse,2013-06-05,"47,844"
Collect_yTK,87,yTK,#Andrea,"Tropical storm Andrea going along the eastern coast, 6/6/2013",International,International,,,Andrea Andrea,2013-06-06,"1,181,594"
Collect_yTK,89,yTK,santa monica shooting,"At least 6 people died in Santa Monica shooting in June 7, 2013",/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,Santa Monica shooting,2013-06-07,"94,676"
Collect_yTK,90,yTK,iran election,,International,International,,,Elections in Iran,2013-06-08,"810,897"
Collect_yTK,91,yTK,#iranelection,,National,National,,,Elections in Iran,2013-06-08,"1,541,278"
Collect_yTK,92,yTK,#rouhani,,Storm,Storm,,,ROUS,2013-06-17,"1,009,899"
Collect_yTK,93,yTK,#HassanRouhani,"""Hani al Hassan (Arabic: هاني الحسن; l939 – 6 July 2012), also known as (Abu Tariq, Abu-l-Hasan), was a leader of the Fatah organization in Germany and member of the Palestinian Authority Cabinet and the Palestinian National Council""",Nuclear,Nuclear,,,Hani al-Hassan,2013-06-17,"77,234"
Collect_yTK,94,yTK,Asiana flight crash,"""A Flight and a Crash is a 2001 punk rock album by Hot Water Music and was released by music label Epitaph Records""",Nuclear,Nuclear,,,A Flight and a Crash,2013-07-07,"36,751"
Collect_yTK,95,yTK,asiana crash,"""Crash or CRASH may refer to:  Common meanings   Collision, an impact between two or more objects  Crash (computing), a condition where a program ceases to respond  Cardiac arrest, a medical condition in which the heart stops beating  Stock market crash, a sudden dramatic decline of stock prices  Sleeping in an impromptu location  Gate crashing, the act of entering an event without invitation  Culture Film   The Crash (1932 film), a drama starring Ruth Chatterton  Crash (1974 film), a Norwegian drama directed by Rolf Clemens   Crash!, a 1977 suspense drama starring José Ferrer and Sue Lyon   Crash (1978 film), a made-for-TV docudrama starring William Shatner and Adrienne Barbeau  Crash: The Mystery of Flight 1501, a 1990 made-for-TV film starring Cheryl Ladd  Crash (1996 film), a drama directed by David Cronenberg  Crash (2004 film), directed by Paul Haggis and winner of the 2005 Academy Award for Best Picture  The Crash (2017 film), a thriller directed by Aram Rappaport  Television   Crash (1984 TV series), a Danish science-fiction series  Crash (2008 TV series), an American drama based on the 2004 film  Crash (2009 TV series), an English-language Welsh medical drama series  Publications   Crash (J""",,,,,Crash,2013-07-07,"182,655"
Collect_yTK,96,yTK,#Quebec,Tweets for Train Derailment in Quebec,train derailment,Aircraft,,,"Quebec City, Quebec",2013-07-07,"3,576,978"
Collect_yTK,98,yTK,Quebec train derailment,Tweets on the Quebec train derailment,Aircraft,Aircraft,,,Kadalundi train derailment,2013-07-07,"20,304"
Collect_yTK,101,yTK,car bomb,Car bomb strikes Hezbollah Beirut,Aircraft,Aircraft,,,Car bomb,2013-07-09,"2,685,411"
Collect_yTK,102,yTK,Hezbollah Beirut,""" Hezbollah organised volunteers who fought on the Bosnian side during the Bosnian War""",Aircraft,Aircraft,,,Hezbollah,2013-07-09,"389,338"
Collect_yTK,103,yTK,Spain train,Tweets for the Spain Train crash,Attack,Attack,,,Category:Racehorses trained in Spain,2013-07-25,"848,747"
Collect_yTK,104,yTK,Galicia,derailment,,,,,Galicia,2013-07-25,"9,841,077"
Collect_yTK,105,yTK,spanish  train crash,,,,,,,2013-07-25,"34,468"
Collect_yTK,106,yTK,suicide bomb attack,Collection of the suicide bombing on the Iraq army patrol,,,,,,2013-07-25,"965,391"
Collect_yTK,107,yTK,Abu Ghraib,The Abu Ghraib prison break,,,,,Abu Ghraib,2013-07-25,"885,239"
Collect_yTK,108,yTK,prison break,""" In the United States, all five seasons have been released on DVD and released on Blu-ray internationally""",,,,,Prison Break,2013-07-25,"8,005,281"
Collect_yTK,109,yTK,suicide bomb,,General,General,,,,2013-07-25,"1,747,376"
Collect_yTK,110,yTK,philippine ferry disaster,""" The immediate cause of the sinking was found to be negligence by the assistant boatswain, who was asleep in his cabin when he should have been closing the bow-door""",Bombing,Bombing,,,Zeebrugge ferry disaster,2013-08-17,"1,662"
Collect_yTK,111,yTK,#انقلاب_مصر,,,,,,,2013-08-20,"69,063"
Collect_yTK,112,yTK,#EgyAntiCoup,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,Gyaing,2013-08-20,"47,625"
Collect_yTK,113,yTK,#egyptmassacere,,massacre,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,Re-ac-tor,2013-08-20,991
Collect_yTK,114,yTK,#Rabaa,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,RAB,2013-08-20,"160,224"
Collect_yTK,115,yTK,#AntiCoup,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,Anti-Coup Alliance,2013-08-20,"518,792"
Collect_yTK,116,yTK,#R4BIA,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,Bia Bia,2013-08-20,"601,407"
Collect_yTK,117,yTK,#Egypte,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,ON E (Egypt),2013-08-20,"1,741,158"
Collect_yTK,118,yTK,#EgyptCrisis,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,Crisis? What Crisis?,2013-08-20,"1,822"
Collect_yTK,119,yTK,#EgyptCoup,,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,,Category:Military coups in Egypt,2013-08-20,"17,404"
Collect_yTK,120,yTK,#رابعة,,,,,,,2013-08-20,"1,217,058"
Collect_yTK,121,yTK,atlanta school shooting,"""A school shooting is an attack at an educational institution, such as a primary school, secondary school, or university, involving the use of firearms""",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,School shooting,2013-08-20,"26,347"
Collect_yTK,122,yTK,georgia school shooting,"""A school shooting is an attack at an educational institution, such as a primary school, secondary school, or university, involving the use of firearms""",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,School shooting,2013-08-21,"66,372"
Collect_yTK,123,yTK,michael brandon hill,,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Brandon Hill,2013-08-21,"13,993"
Collect_yTK,124,yTK,atlanta gunman in school,,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Gunman,2013-08-21,"1,791"
Collect_yTK,125,yTK,33 killed in Malaysia,,Maritime,Maritime,,,Kill kill kill,2013-08-21,802
Collect_yTK,126,yTK,500 killed in gas attack,""" As a result, he joins Night Raid, which consists of the swordswoman Akame, the beastly fighter Leone, the sniper girl Mine, the scissor-wielding Sheele, the string manipulator Lubbock, the armored warrior Bulat, and their leader Najenda, a former general of the imperial army""",,,,,Akame ga Kill!,2013-08-21,"3,672"
Collect_yTK,127,yTK,Damascus gas attack,"""This is a list of terror attacks in Damascus within modern Syria (after independence in 1946)""",Attack,Attack,,,List of terrorist attacks in Damascus,2013-08-21,"89,615"
Collect_yTK,128,yTK,Antoinette Tuff,Atlanta school shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,,2013-08-21,"52,328"
Collect_yTK,129,yTK,Malaysia crash,Malaysia bus crash,Attack,Attack,,,,2013-08-21,"734,376"
Collect_yTK,130,yTK,fukushima,""" In terms of national politics, most of the city falls within the Fukushima 1st district, a single-member constituency of the House of Representatives in the national Diet of Japan, which also includes the cities of Date, Sōma, Minamisōma and Date District and Sōma District""",,,,,"Fukushima, Fukushima",2013-08-21,"9,588,397"
Collect_yTK,131,yTK,nuclear plant,"""thumb|A nuclear power station (Grafenrheinfeld Nuclear Power Plant, Grafenrheinfeld, Bavaria, Germany)""",Attack,Attack,,,Nuclear power plant,2013-08-21,"2,740,754"
Collect_yTK,132,yTK,toxic water,"""  Types There are generally four types of toxic entities; chemical, biological, physical and radiation:  The R""",Nuclear,Nuclear,,,Toxic,2013-08-21,"2,098,288"
Collect_yTK,133,yTK,Yosemite wildfire,,,,,,,2013-08-24,"132,077"
Collect_yTK,134,yTK,Syria,""" Syria is ranked last on the Global Peace Index, making it the most violent country in the world due to the war, although life continues normally for most of its citizens as of December 2017""",Water,Water,,,Syria,2013-08-29,"16,947,088"
Collect_yTK,135,yTK,Syria crisis,,War,War,,,Crisis? What Crisis?,2013-08-29,"3,487,742"
Collect_yTK,137,yTK,Boulder flood,,Refugees,Refugees,,,Boulders/Boulders,2013-09-13,"67,631"
Collect_yTK,138,yTK,Lyons flood,,Flood,Flood,,,Lyon & Lyon,2013-09-13,"17,197"
Collect_yTK,139,yTK,colorado flood,"""Floods in Colorado include the flood of 1844 which filled the South Platte valley from ""bluff to bluff"" to the recent Denver floods of 1965 and the 2013 Colorado floods""",Flood,Flood,,,Floods in Colorado,2013-09-13,"294,751"
Collect_yTK,140,yTK,navy yard shooting,"""The Washington Navy Yard shooting occurred on September 16, 2013, when a lone gunman, 34-year-old Aaron Alexis, fatally shot 12 people and injured three others in a mass shooting at the headquarters of the Naval Sea Systems Command (NAVSEA) inside the Washington Navy Yard in Southeast Washington, D""",/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,,Washington Navy Yard shootings,2013-09-16,"280,724"
Collect_yTK,142,yTK,kenya mall attack,"""On Saturday, 21 September 2013, four masked gunmen attacked the Westgate shopping mall, an upscale mall in Nairobi, Kenya""",Flood,Flood,,,Kenya mall attack,2013-09-21,"184,062"
Collect_yTK,143,yTK,typhoon usagi,,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,,,Typhoon Usagi,2013-09-23,"9,497"
Collect_yTK,144,yTK,typhoon wipha,,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,,,PHA,2013-10-16,"4,803"
Collect_yTK,145,yTK,nevada school shooting,,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Category:Mass shootings in Nevada,2013-10-21,"33,762"
Collect_yTK,146,yTK,LAX shooting,,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,,Lax shooting,2013-11-02,"216,725"
Collect_yTK,148,yTK,#Haiyan,Super Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,,,Hai Yan,2013-11-08,"927,982"
Collect_yTK,149,yTK,typhoon yolanda,""" The thirtieth named storm, thirteenth typhoon, and fifth super typhoon of the 2013 Pacific typhoon season, Haiyan originated from an area of low pressure several hundred kilometers east-southeast of Pohnpei in the Federated States of Micronesia on November 2, 2013""",/Disaster_Types/Natural/Geophysical/Storm/Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,,,Typhoon Yolanda,2013-11-12,"436,907"
Collect_yTK,150,yTK,US tornadoes,"""This page documents all the known tornadoes that touched down in the United States during 1950""",,,,,List of US tornadoes of 1950,2013-11-17,"675,041"
Collect_yTK,151,yTK,midwest tornadoes,"""The October 2013 North American storm complex was a blizzard and tornado outbreak that affected the Northwest, Rockies, and much of the Midwest""",Tornado,Tornado,,,October 2013 Upper Midwest tornado,2013-11-17,"272,007"
Collect_yTK,152,yTK,cyclone Cleopatra,,Tornado,Tornado,,,,2013-11-19,"1,809"
